STL,English,Complexity
"always[2,6](x1 > 10) -> always[2,6](x3 >= -5)","Whenever signal x1 stays above the threshold of 10 throughout the duration of [2, 6], concurrently signal x3 should not drop below -5 at any point during that interval.",non-nested
"always[0,10](T > 30) and eventually[15,20](T < 20)",The temperature (signal T) should continuously exceed 30 degrees Celsius during the first 10 time units and subsequently drop below 20 degrees Celsius at least once during the interval from 15 to 20 time units.,non-nested
"always[0,200](x_3 > 1.5 -> not eventually[2,6](x_4 > 2.0))","Within the first 200 time units, whenever signal x_3 exceeds 1.5, signal x_4 must not exceed 2.0 within the following 2 to 6 time units.",nested
"always[0,30](p1 <= 80) and eventually[10,50](h1 > 40)","The pressure p1 should never exceed 80 units in the first 30 seconds, and concurrently, the humidity h1 must rise above 40% at least once between 10 and 50 seconds.",non-nested
"eventually[0,10](z < -2) -> always[5,15](z > 3)","From the start until 10 time units, if signal z drops below -2 at any point, then for the duration from 5 to 15 time units, signal z must remain above 3.",non-nested
"eventually[0,5](x_2 < 3)",The signal x_2 drops below 3 sometime within the first 5 seconds.,non-nested
"eventually[0,15](p1 < 30) -> always[15,25](p2 > 50)","If the pressure p1 is below 30 units at any point during the initial 15 minutes, then it must be that the pressure p2 exceeds 50 units throughout the next 10 minutes.",non-nested
"eventually[0,100](a_1 > 5) and always[0,20](p_1 > 50) -> always[0,60](v_1 >= 20)","If the acceleration signal a1 exceeds 5 m/s^2 within the first 100 seconds and simultaneously the pressure p1 stays above 50 psi for at least 20 seconds, there will subsequently be a period of 60 seconds where the velocity v1 will not drop below 20 m/s.",non-nested
"eventually[0,200]((p_1 > 80) and always[0,60](v_1 < 100)) -> always[200,300](p_1 >= 70)","If at any point within the first 200 seconds the pressure p1 exceeds 80 units, and during this period the velocity v1 is less than 100 units for at least 60 consecutive seconds, then p1 must not drop below 70 units for the subsequent 100 seconds.",non-nested
"always[0,200](p1 > 15 -> always[0,20](p1 > 10 and p1 < 20))","For any moment in the first 200 seconds, if the pressure p1 surpasses 15 units, it must remain above 10 units but below 20 units for exactly the following 20 seconds.",nested
"eventually[0,60](always[0,25](p1 > 300) and always[0,15](t3 > 50)) -> eventually[60,160](f1 > 500)","If pressure p1 exceeds 300 psi within the first 60 seconds and maintains that level for at least 25 seconds, concurrently if temperature t3 is greater than 50 degrees for 15 consecutive seconds within that same period, then following this period, the flow rate f1 will exceed 500 gpm within the next 100 seconds.",nested
"eventually[0,60](always[0,10](v_1 < 20)) -> always[60,80](i_1 > 15)","If the voltage v1 is less than 20 volts for at least 10 seconds within the first minute, then it is guaranteed that the current i1 exceeds 15 mA for the entire duration of the following 20 seconds.",nested
"always[0,10](a > 2.0) -> eventually[0,15](v > 20)","If acceleration 'a' exceeds 2.0 m/s² for more than 10 seconds, then speed 'v' will rise above 20 m/s within the next 15 seconds.",non-nested
"always[5,15](v_1 > 30) and always[10,20](p_1 < 100) -> eventually[15,25](t_1 > 50)","Whenever the speed v_1 remains above 30 units throughout the interval [5, 15], and the pressure p_1 is consistently below 100 units during the interval [10, 20], it should lead to the temperature t_1 exceeding 50 units at least once between 15 and 25 seconds.",non-nested
"always[0,50](p_1 > 70) and eventually[60,120](v_1 < 20) -> always[0,100](h_1 >= 30)","If the pressure p1 exceeds 70 units continuously from 0 to 50 seconds and the velocity v1 reaches less than 20 units at any time between 60 and 120 seconds, then humidity h1 must not fall below 30% for the entire duration of 0 to 100 seconds.",non-nested
"always[100,500]((temp>20) or ((temp<18) -> eventually[0,30](always[0,10](temp>20))))","Between 100 and 500 time units, the temperature signal must remain above 20 degrees, unless it briefly drops below 18 degrees, in which case it must recover to above 20 degrees within 30 time units and maintain this for at least 10 units.",non-nested
"always[5,15](P_2 > 30) and eventually[5,15](H_3 > 80) -> always[20,30](T_1 < 50)","When the pressure P_2 remains above 30 units consistently for the duration from 5 to 15 seconds, if during this period the humidity H_3 occasionally exceeds 80 percent, then from 20 to 30 seconds, the temperature T_1 should continuously be below 50 degrees.",non-nested
"always[0,20](x_3 < 15) -> eventually[21,50](x_5 > 50)","Whenever the quantity of x3 remains consistently below 15 during the first 20 seconds, it shall lead to x5 exceeding 50 at least once within the subsequent 30 seconds.",non-nested
"always[0,20](p_1 > 80) and eventually[0,20](v_1 < 30) -> always[5,25](t_1 <= 100)","If the pressure p_1 remains continuously above 80 units between time 0 and 20, and if the volume v_1 is observed to be under 30 units at least once in the same period, then the temperature t_1 should never exceed 100 units between time 5 and 25.",non-nested
"always[0,60](always[0,10](p > 20) -> always[5,15](temperature <= 100))","Whenever the pressure p exceeds 20 psi continuously for at least 10 seconds within the next minute, then the temperature must not go beyond 100 degrees Celsius anytime between 5 and 15 seconds afterwards.",nested
"eventually[0,30](p_1 > 70) and always[0,30](v_2 < 10)","The pressure p1 exceeds 70 units for at least one moment during the first 30 seconds, while concurrently, the vibration v2 remains below 10 units throughout the same interval.",non-nested
"always[50,150](v_1 < -10) and eventually[200,300](v_2 > 25)","The signal v_1 must remain below -10 between seconds 50 and 150, and subsequently, the signal v_2 must exceed 25 at least once between seconds 200 and 300.",non-nested
"always[0,20](x_2 < 15) -> (eventually[5,15](y_2 > 50) or always[10,20](y_2 > 30))","If the signal x_2 remains below 15 between times 0 and 20, then either signal y_2 must exceed 50 somewhere from time 5 to 15 or remain consistently above 30 from time 10 to 20.",non-nested
"always(p > 100 -> always[0,50](v < 20))","Every time the pressure p reaches over 100 units, then for the following 50 seconds, the velocity v must stay under 20 units.",non-nested
"always[0,50](p1 < 30) -> eventually[0,100](p2 > 60)","If the pressure p1 is below 30 units continuously from now until 50 seconds later, then the pressure p2 must exceed 60 units at some point within the next 100 seconds.",non-nested
"always[0,10](temperature > 25)",Temperature remains consistently above 25 degrees for at least 10 consecutive hours starting from time unit 0.,non-nested
"always[10,20](p > 30) and eventually[15,25](v > 5)",The pressure p consistently exceeds 30 units throughout the entire duration from 10 to 20 seconds while the velocity v at some point between 15 to 25 seconds surpasses 5 units.,non-nested
"always[0,20](p_1 < 30) and eventually[0,10](f_1 > 100) -> always[0,60](not (t_1 > 50))","Whenever the pressure p1 falls below 30 psi continuously over a 20-second period, if simultaneously the flow rate f1 exceeds 100 L/min in a shorter span of 10 seconds, then the temperature t1 must not rise above 50 degrees for the subsequent 60 seconds.",non-nested
"always[0,60](p_1 > 80) -> (eventually[0,30](h_1 < 30) or eventually[10,70](t_1 > 45))","If the pressure p1 exceeds 80 units continuously from now until the 60th second, then it must be that either the humidity h1 drops below 30% within the next 30 seconds or the temperature t1 reaches above 45 degrees anytime within the next 10 to 70 seconds.",non-nested
"eventually[10,50](p1 > 55) and eventually[20,70](r1 < 20) -> always[30,90](o2 > 100)","If the pressure p1 exceeds 55 within the interval [10, 50] seconds and then within [20, 70] seconds the flow rate r1 is less than 20 liters per minute, maintain the output o2 above 100 units from [30 to 90] seconds.",non-nested
"always[0,15](p1 < 30) and always[0,15](v1 > 50) -> eventually[10,20](t1 > 100)","If the pressure p1 remains below 30 units for the first 15 minutes and concurrently the volume v1 is above 50 units during the same interval, then the temperature t1 must exceed 100 units at any point between 10 and 20 minutes.",non-nested
"always[2,5](x_3 > 7)",The signal x_3 remains consistently above the value 7 from time 2 to time 5.,non-nested
"eventually[0,10](x_3 > 8) -> always[5,15](x_4 <= 10)","If at any point between 0 and 10 seconds, the value of signal x3 exceeds 8, then throughout the interval from 5 to 15 seconds, the value of signal x4 must not exceed 10.",non-nested
"always[0,10](p_1 > 25) and always[0,10](v_2 <= 15)","The pressure p1 remains consistently above 25 units during the first 10 seconds, while signal v2 does not exceed 15 units in the same interval.",non-nested
"always[5,15](p1 > 30) -> (eventually[5,15](v1 < 10) or eventually[5,15](s1 > 100))","Whenever the pressure p1 exceeds 30 psi continuously over the time interval [5,15], it should coincide with the occurrence of either voltage v1 dropping below 10 volts or speed s1 exceeding 100 rpm within the same interval.",non-nested
"always[2,5](x_3 < 4) and eventually[6,9](x_3 > 10)","The signal x3 remains strictly below 4 during the interval [2,5] and eventually reaches above 10 at some point between [6,9].",non-nested
"always[2,5](x3 < -2) and eventually[5,10](x4 > 3)","The signal x3 remains consistently below -2 within the time frame [2,5], and during this span, it seamlessly transitions to the signal x4 exceeding 3 at any point between [5,10].",non-nested
"always[0,10](v > 20) -> always[0,10](a <= 5)","If the velocity v remains greater than 20 m/s for at least the next 10 seconds, then the acceleration a must not exceed 5 m/s^2 at any point during those 10 seconds.",non-nested
"always[2,7](p1 > 120) -> eventually[5,10](v1 <= 100)","If the pressure p1 exceeds 120 bars continually during the interval [2,7], then the valve v1's position will not exceed 100 degrees at least once between times [5,10].",non-nested
"always[2,10](p1 > 100) -> (eventually[5,15](t1 > 40) or eventually[3,12](v1 < 20))","Whenever the pressure p1 is above 100 in the interval [2,10], it implies that either temperature t1 must exceed 40 in the interval [5,15] or the velocity v1 must drop below 20 within [3,12].",non-nested
"always[15,30](v > 20) -> not eventually[10,40](p > 100)",The velocity v stays above 20 m/s from second 15 to second 30 only if the pressure p does not exceed 100 Pascals anytime between seconds 10 and 40.,non-nested
"always[2,6](x1 > 5) -> always[2,6](x3 <= 8)","Whenever signal x1 is steadily above 5 from time 2 to 6, signal x3 must not exceed 8 at any point during that interval.",non-nested
"always[0,60](h_1 > 80 and w_1 <= 20) -> always[70,130](t_1 >= 15)","If the humidity level h1 stays above 80% consistently from now until 60 seconds later, and simultaneously, the wind speed w1 does not exceed 20 m/s throughout this period, then the temperature t1 should not fall under 15 degrees Celsius between 70 and 130 seconds from now.",non-nested
"eventually[0,10](p1 > 50) and eventually[0,10](p2 < 20) -> always[10,35](p1 > 30)","If the pressure p1 rises above 50 units within the first 10 seconds and subsequently, the pressure p2 drops below 20 units within the same interval, then it is required that for the next 25 seconds, pressure p1 remains above 30 units.",non-nested
"always[0,3](z_3 > 10) -> eventually[4,9](y_3 > 15)","Whenever z_3 remains above 10 in the initial interval [0,3], signal y_3 must later peak above 15 at least once within the interval [4,9].",non-nested
"always[100,500](x_1>2.5 -> eventually[30,60](x_3<-0.5))","If signal x_1 exceeds 2.5 between 100 and 500 time units, then within the next 30 to 60 time units, signal x_3 must decline below -0.5.",nested
"always[0,5](x1 > 3) -> eventually[6,10](x3 > 5)","If the value of signal x1 remains above 3 during the entire interval from 0 to 5 time units, then it should lead to signal x3 being above 5 at least once between 6 and 10 time units.",non-nested
"always[0,60](p1 > 100) and always[0,15](l2 <= 50) -> eventually[25,50](v3 >= 40)","Whenever the pressure p1 stays above 100 units consistently for the entire duration from 0 to 60 time units, and simultaneously the level l2 does not exceed 50 units in the first 15 seconds, it should result in voltage v3 reaching at least 40 units within 25 to 50 seconds thereafter.",non-nested
